Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.676,0.799,0.707,0.941,0.941,0.226,0.006
SAM1 YOLO bbox,128,0.611 ± 0.004,0.721 ± 0.004,0.637 ± 0.004,0.844 ± 0.005,0.858 ± 0.004,0.202 ± 0.007,0.003 ± 0.000
SAM2 GT bbox,128,0.658,0.782,0.676,0.960,0.912,0.217,0.003
SAM2 YOLO bbox,128,0.593 ± 0.004,0.705 ± 0.004,0.610 ± 0.004,0.857 ± 0.005,0.833 ± 0.002,0.182 ± 0.006,0.002 ± 0.000
SAM3 GT bbox,128,0.680,0.796,0.702,0.938,0.928,0.304,0.006
SAM3 YOLO bbox,128,0.612 ± 0.003,0.718 ± 0.003,0.632 ± 0.003,0.843 ± 0.003,0.846 ± 0.003,0.260 ± 0.017,0.004 ± 0.000
