Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.593,0.727,0.626,0.926,0.802,0.144,0.014
SAM1 YOLO bbox,128,0.542 ± 0.001,0.661 ± 0.002,0.571 ± 0.002,0.820 ± 0.004,0.752 ± 0.002,0.130 ± 0.002,0.009 ± 0.000
SAM2 GT bbox,128,0.565,0.704,0.584,0.951,0.747,0.123,0.000
SAM2 YOLO bbox,128,0.520 ± 0.001,0.643 ± 0.001,0.539 ± 0.002,0.831 ± 0.005,0.707 ± 0.006,0.112 ± 0.007,0.000 ± 0.000
SAM3 GT bbox,128,0.612,0.735,0.640,0.910,0.809,0.253,0.000
SAM3 YOLO bbox,128,0.567 ± 0.001,0.677 ± 0.002,0.597 ± 0.002,0.809 ± 0.003,0.768 ± 0.004,0.235 ± 0.003,0.000 ± 0.000
