Model,BBox,Temel Referans IoU,Reference IoU,IoU Farkı
SAM1,GT bbox,0.991,0.785,-0.206
SAM1,YOLO bbox,0.813,0.676,-0.137
SAM2,GT bbox,0.781,1.000,+0.219
SAM2,YOLO bbox,0.679,0.785,+0.106
SAM3,GT bbox,0.808,0.751,-0.057
SAM3,YOLO bbox,0.691,0.639,-0.052
