Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.837,0.902,0.924,0.893,0.961,0.867,0.325
SAM1 YOLO bbox,128,0.786,0.849,0.866,0.846,0.913,0.796,0.313
SAM2 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM2 YOLO bbox,128,0.893,0.914,0.913,0.922,0.934,0.908,0.806
SAM3 GT bbox,128,0.801,0.885,0.977,0.819,0.985,0.718,0.167
SAM3 YOLO bbox,128,0.751,0.832,0.917,0.771,0.927,0.692,0.143
