Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,512,0.785,0.870,0.957,0.817,0.941,0.697,0.238
SAM1 YOLO bbox,512,0.676,0.743,0.810,0.701,0.804,0.621,0.228
SAM2 GT bbox,512,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM2 YOLO bbox,512,0.785,0.810,0.817,0.810,0.834,0.795,0.661
SAM3 GT bbox,512,0.751,0.850,0.970,0.770,0.943,0.592,0.081
SAM3 YOLO bbox,512,0.639,0.721,0.822,0.653,0.799,0.522,0.074
