Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.997,0.998,0.999,0.997,0.999,0.998,0.996
SAM1 YOLO bbox,128,0.676,0.690,0.697,0.687,0.706,0.682,0.633
SAM2 GT bbox,128,0.702,0.815,0.734,0.957,0.897,0.444,0.036
SAM2 YOLO bbox,128,0.511,0.588,0.532,0.680,0.648,0.369,0.031
SAM3 GT bbox,128,0.552,0.683,0.587,0.903,0.651,0.175,0.000
SAM3 YOLO bbox,128,0.407,0.501,0.428,0.670,0.483,0.154,0.000
