Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.979,0.984,0.987,0.983,0.981,0.976,0.966
SAM1 YOLO bbox,128,0.901 ± 0.002,0.915 ± 0.002,0.914 ± 0.002,0.920 ± 0.003,0.922 ± 0.006,0.913 ± 0.002,0.861 ± 0.006
SAM2 GT bbox,128,0.827,0.892,0.885,0.913,0.947,0.850,0.330
SAM2 YOLO bbox,128,0.782 ± 0.003,0.843 ± 0.002,0.835 ± 0.002,0.865 ± 0.003,0.889 ± 0.004,0.790 ± 0.006,0.340 ± 0.004
SAM3 GT bbox,128,0.625,0.736,0.675,0.904,0.680,0.398,0.119
SAM3 YOLO bbox,128,0.591 ± 0.001,0.691 ± 0.001,0.630 ± 0.005,0.855 ± 0.006,0.633 ± 0.010,0.420 ± 0.005,0.158 ± 0.005
