Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,512,0.991,0.993,0.994,0.993,0.993,0.991,0.987
SAM1 YOLO bbox,512,0.814 ± 0.012,0.826 ± 0.013,0.829 ± 0.012,0.825 ± 0.013,0.836 ± 0.014,0.822 ± 0.013,0.782 ± 0.009
SAM2 GT bbox,512,0.781,0.866,0.813,0.952,0.935,0.691,0.239
SAM2 YOLO bbox,512,0.679 ± 0.009,0.745 ± 0.010,0.706 ± 0.009,0.806 ± 0.013,0.803 ± 0.012,0.641 ± 0.003,0.241 ± 0.002
SAM3 GT bbox,512,0.611,0.725,0.637,0.930,0.688,0.370,0.071
SAM3 YOLO bbox,512,0.537 ± 0.006,0.630 ± 0.008,0.555 ± 0.006,0.802 ± 0.012,0.596 ± 0.006,0.360 ± 0.005,0.102 ± 0.006
