table_key,table_title,pipeline,pipeline_label,family,images,avg_iou,avg_dice,avg_precision,avg_recall,avg_pred_gt_area,zero_iou_count,iou_ge_50_count,iou_ge_50_rate,iou_ge_75_count,iou_ge_75_rate,iou_ge_90_count,iou_ge_90_rate,map50_proxy,map75_proxy,map90_proxy,map50_95_proxy
no_overlap__high_mask_area,No Overlap / High Mask Area,sam3_text,SAM3 text only,SAM3,32,0.32439318581342236,0.45299297654513926,0.41253236453403974,0.746007258204488,3.3583143269724345,0,8,0.25,1,0.03125,0,0.0,0.25,0.03125,0.0,0.078125
no_overlap__high_mask_area,No Overlap / High Mask Area,yolo_sam3,SAM3 YOLO bbox,SAM3,32,0.5269461211138459,0.6669297153638517,0.6304038910500829,0.7722320144607215,2.7088960822295305,0,19,0.59375,5,0.15625,0,0.0,0.59375,0.15625,0.0,0.209375
no_overlap__high_mask_area,No Overlap / High Mask Area,gt_box_sam3,SAM3 GT bbox,SAM3,32,0.638021497339076,0.7676672844824846,0.6704774886594457,0.9310344534852987,1.5964569319229156,0,29,0.90625,8,0.25,0,0.0,0.90625,0.25,0.0,0.34375
no_overlap__high_mask_area,No Overlap / High Mask Area,sam3_hybrid_yolo,SAM3 hybrid YOLO bbox,SAM3,32,0.4350660188839802,0.5651529419649837,0.4944504164766331,0.8072471964996732,2.8372050090755403,0,16,0.5,3,0.09375,0,0.0,0.5,0.09375,0.0,0.171875
no_overlap__high_mask_area,No Overlap / High Mask Area,remotesam_text,RemoteSAM text only,RemoteSAM,32,0.4562683351137342,0.5989292349083268,0.6415471666109199,0.6222587329164487,0.9513069397628542,1,14,0.4375,0,0.0,0,0.0,0.4375,0.0,0.0,0.134375
no_overlap__high_mask_area,No Overlap / High Mask Area,gt_box_ringmo_sam,RingMo-SAM GT bbox,RingMo-SAM,32,0.3656377700679529,0.496250446284499,0.8841714075736876,0.3870245653670208,0.4278694478040774,1,8,0.25,2,0.0625,0,0.0,0.25,0.0625,0.0,0.090625
no_overlap__high_mask_area,No Overlap / High Mask Area,yolo_ringmo_sam,RingMo-SAM YOLO bbox,RingMo-SAM,32,0.3314798459596995,0.4570362050762062,0.8026988634127519,0.3597332620679486,0.4199205348490727,1,8,0.25,2,0.0625,0,0.0,0.25,0.0625,0.0,0.084375
no_overlap__high_mask_area,No Overlap / High Mask Area,gt_box_sam2,SAM2 GT bbox,SAM2,32,0.742099747250321,0.8509813895010092,0.7772107690684472,0.9430124244181111,1.2189235300351458,0,32,1.0,15,0.46875,0,0.0,1.0,0.46875,0.0,0.53125
no_overlap__high_mask_area,No Overlap / High Mask Area,yolo_sam2,SAM2 YOLO bbox,SAM2,32,0.5338655805647056,0.677883991576059,0.6960387104088781,0.7138857592666311,1.0474622216189726,0,18,0.5625,4,0.125,0,0.0,0.5625,0.125,0.0,0.203125
