Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,512,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,512,0.869 ± 0.004,0.878 ± 0.004,0.881 ± 0.004,0.877 ± 0.004,0.886 ± 0.004,0.875 ± 0.004,0.842 ± 0.003
SAM2 GT bbox,512,0.827,0.898,0.874,0.939,0.966,0.845,0.263
SAM2 YOLO bbox,512,0.747 ± 0.003,0.808 ± 0.004,0.789 ± 0.003,0.839 ± 0.005,0.870 ± 0.003,0.777 ± 0.001,0.250 ± 0.001
SAM3 GT bbox,512,0.795,0.871,0.875,0.880,0.955,0.793,0.151
SAM3 YOLO bbox,512,0.721 ± 0.001,0.787 ± 0.001,0.797 ± 0.001,0.788 ± 0.002,0.865 ± 0.001,0.734 ± 0.002,0.143 ± 0.002
