Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,128,0.887 ± 0.007,0.900 ± 0.007,0.909 ± 0.005,0.897 ± 0.009,0.912 ± 0.009,0.879 ± 0.011,0.833 ± 0.012
SAM2 GT bbox,128,0.820,0.889,0.896,0.900,0.957,0.826,0.310
SAM2 YOLO bbox,128,0.763 ± 0.005,0.828 ± 0.005,0.840 ± 0.005,0.831 ± 0.007,0.895 ± 0.008,0.745 ± 0.003,0.287 ± 0.003
SAM3 GT bbox,128,0.771,0.857,0.912,0.827,0.953,0.664,0.156
SAM3 YOLO bbox,128,0.711 ± 0.011,0.790 ± 0.012,0.851 ± 0.012,0.753 ± 0.012,0.880 ± 0.019,0.613 ± 0.005,0.137 ± 0.006
