Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,128,0.852,0.861,0.861,0.865,0.861,0.859,0.838
SAM2 GT bbox,128,0.795,0.875,0.850,0.925,0.929,0.779,0.173
SAM2 YOLO bbox,128,0.720,0.785,0.761,0.824,0.847,0.745,0.162
SAM3 GT bbox,128,0.751,0.838,0.860,0.840,0.925,0.674,0.082
SAM3 YOLO bbox,128,0.684,0.760,0.787,0.749,0.838,0.645,0.068
