epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6362.15,0.87859,0.42904,0.00405,0.9676,0.89831,0.95219,0.71354,1.08694,0.59695,0.00851,0.0011882,0.0011882,0.0011882
43,6512.98,0.88806,0.4448,0.00425,0.94788,0.92146,0.95487,0.70782,1.10781,0.56306,0.00902,0.0011684,0.0011684,0.0011684
44,6663.57,0.86078,0.42487,0.00412,0.9484,0.92704,0.95505,0.72318,1.07175,0.54629,0.00867,0.0011486,0.0011486,0.0011486
45,6814.23,0.86894,0.42217,0.00405,0.95845,0.91548,0.95675,0.72713,1.04397,0.58265,0.00816,0.0011288,0.0011288,0.0011288
46,6964.8,0.86429,0.41839,0.00391,0.95434,0.9158,0.95362,0.7199,1.08098,0.55863,0.00877,0.001109,0.001109,0.001109
47,7115.41,0.86824,0.41944,0.00413,0.95217,0.92985,0.96075,0.72355,1.08076,0.55998,0.00891,0.0010892,0.0010892,0.0010892
48,7266.03,0.83865,0.40627,0.00392,0.94895,0.92982,0.95953,0.72549,1.06903,0.57665,0.00856,0.0010694,0.0010694,0.0010694
49,7416.41,0.82865,0.40638,0.00397,0.96706,0.926,0.96526,0.73009,1.07677,0.49678,0.00851,0.0010496,0.0010496,0.0010496
50,7567.94,0.82675,0.39597,0.00371,0.96507,0.91378,0.9568,0.72031,1.09602,0.54917,0.00852,0.0010298,0.0010298,0.0010298
51,7718.48,0.80886,0.3915,0.00379,0.9646,0.92311,0.95756,0.73485,1.06475,0.52207,0.00849,0.00101,0.00101,0.00101
52,7869.86,0.83433,0.407,0.00398,0.95731,0.91856,0.9569,0.73584,1.05778,0.55037,0.00824,0.0009902,0.0009902,0.0009902
53,8021.62,0.81262,0.38808,0.0037,0.94866,0.93468,0.95636,0.72508,1.0975,0.5489,0.00898,0.0009704,0.0009704,0.0009704
