Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.825,0.900,0.890,0.922,0.986,0.839,0.189
SAM1 YOLO bbox,128,0.671,0.732,0.714,0.761,0.794,0.678,0.182
SAM2 GT bbox,128,0.761,0.855,0.783,0.967,0.934,0.671,0.066
SAM2 YOLO bbox,128,0.622,0.698,0.637,0.791,0.762,0.531,0.063
SAM3 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM3 YOLO bbox,128,0.759,0.783,0.778,0.793,0.804,0.787,0.654
