experiment_id,images,ground_truth_instances,detections_for_ap,maximum_absolute_metric_difference,status
isaid_plane,512,5447,12840,0.0,exact_match
isaid_small_vehicle,512,12051,92270,0.0,exact_match
samrs_plane,512,3713,12790,0.0,exact_match
samrs_small_vehicle,512,7659,34599,0.0,exact_match
