target,exact_rgb_image_count,human_instance_count,samrs_instance_count,bbox_matched_instance_count_at_iou_50,human_unmatched_instance_count,samrs_unmatched_instance_count,matched_mask_mean_iou,matched_mask_success_at_iou_50,matched_mask_success_at_iou_75,matched_mask_success_at_iou_90,interpretation
plane,19,118,88,48,70,40,0.6290709516325088,0.8125,0.16666666666666666,0.0,Exploratory exact-image subset only; post-hoc and not a representative cross-dataset benchmark. Unmatched instances expose annotation coverage differences that matched-mask IoU alone omits.
small_vehicle,6,108,101,91,17,10,0.7080033828910839,0.9120879120879121,0.46153846153846156,0.02197802197802198,Exploratory exact-image subset only; post-hoc and not a representative cross-dataset benchmark. Unmatched instances expose annotation coverage differences that matched-mask IoU alone omits.
