image,pipeline,pipeline_label,family,stratum,overlap_group,area_group,num_objects,mask_area_ratio,max_pair_bbox_iou,iou,dice,precision,recall,pred_area_ratio
P0060_0009.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,37,0.0057315826416015,0.0,0.5938122427300492,0.7451470465716904,0.6454033771106942,0.8813559322033898,1.3655892786756012
P0199_0002.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,50,0.0199432373046875,0.0,0.5670338806900852,0.7237034089401777,0.6195541087853439,0.8699441934626627,1.4041456284879086
P0331_0003.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,9,0.0047893524169921,0.0,0.3905046376355919,0.5616732617297908,0.5886255924170616,0.5370810810810811,0.9124324324324324
P0725_0000.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,17,0.0089015960693359,0.0,0.19932794026135656,0.33239939397712887,0.20254957507082152,0.9261015381057014,4.572221579738637
P0725_0002.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,20,0.0104885101318359,0.0,0.21496575088404757,0.35386306276968166,0.22317783882313677,0.8538453982909341,3.8258520773990767
P0761_0003.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,15,0.007730484008789,0.0,0.1496618427750709,0.2603580239104308,0.15442335109176858,0.8291700241740532,5.3694601128122486
P0801_0002.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,61,0.0379505157470703,0.0,0.27404934834023853,0.4302020933447436,0.28352031652653775,0.8913500095474508,3.1438664448020948
P0887_0004.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,22,0.0117864608764648,0.0,0.17918610262184334,0.3039148820079116,0.1798224374495561,0.9806338028169014,5.453345070422535
P0887_0008.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,13,0.0078229904174804,0.0,0.6976060478790425,0.8218703612073232,0.7706762556547965,0.8803498078706771,1.1423082019345436
P1088_0000.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,15,0.00994873046875,0.0,0.17340138427362353,0.2955533998810902,0.1739859263898611,0.9809929372663067,5.638346489405899
P1122_0017.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0090446472167968,0.0,0.2084227404560353,0.34495004683109587,0.20961889629330993,0.9733509525382668,4.643431340160776
P1143_0005.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0054092407226562,0.0,0.17962628089210367,0.3045477772100153,0.5023177412557943,0.21851512373968837,0.43501374885426214
P1147_0029.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0055389404296875,0.0,0.09355841848067525,0.17110822229444264,0.10073984310223866,0.5675530003593244,5.6338483650736615
P1471_0007.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,44,0.0236873626708984,0.0,0.5293183654140784,0.692227828272709,0.5912810778853036,0.834739061676331,1.4117466174661746
P1471_0017.jpg,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,47,0.0290870666503906,0.0,0.4553044321085558,0.6257170967986074,0.5461631962794631,0.7323978597498317,1.3409872081074377
