Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,0.681,0.803,0.706,0.951,0.957,0.212,0.004
SAM1 YOLO bbox,32,0.649 ± 0.001,0.767 ± 0.001,0.672 ± 0.001,0.905 ± 0.002,0.910 ± 0.002,0.186 ± 0.003,0.002 ± 0.000
SAM2 GT bbox,32,0.666,0.790,0.682,0.968,0.933,0.222,0.002
SAM2 YOLO bbox,32,0.636 ± 0.000,0.754 ± 0.000,0.651 ± 0.000,0.921 ± 0.003,0.893 ± 0.002,0.194 ± 0.003,0.002 ± 0.001
SAM3 GT bbox,32,0.702,0.810,0.725,0.934,0.942,0.425,0.000
SAM3 YOLO bbox,32,0.671 ± 0.001,0.775 ± 0.002,0.692 ± 0.001,0.894 ± 0.004,0.907 ± 0.006,0.382 ± 0.007,0.000 ± 0.000
