Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,32,0.905 ± 0.006,0.917 ± 0.008,0.915 ± 0.006,0.928 ± 0.010,0.922 ± 0.013,0.909 ± 0.000,0.879 ± 0.007
SAM2 GT bbox,32,0.792,0.874,0.873,0.905,0.935,0.740,0.208
SAM2 YOLO bbox,32,0.765 ± 0.007,0.837 ± 0.008,0.826 ± 0.008,0.869 ± 0.009,0.909 ± 0.013,0.727 ± 0.026,0.195 ± 0.000
SAM3 GT bbox,32,0.756,0.844,0.889,0.825,0.948,0.662,0.091
SAM3 YOLO bbox,32,0.736 ± 0.006,0.819 ± 0.008,0.856 ± 0.009,0.802 ± 0.009,0.926 ± 0.007,0.701 ± 0.013,0.087 ± 0.007
