Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,0.630,0.761,0.665,0.935,0.868,0.171,0.000
SAM1 YOLO bbox,32,0.519 ± 0.010,0.620 ± 0.012,0.545 ± 0.010,0.738 ± 0.016,0.721 ± 0.021,0.161 ± 0.007,0.000 ± 0.000
SAM2 GT bbox,32,0.612,0.749,0.644,0.940,0.878,0.118,0.000
SAM2 YOLO bbox,32,0.497 ± 0.010,0.604 ± 0.012,0.519 ± 0.011,0.741 ± 0.014,0.702 ± 0.016,0.095 ± 0.004,0.000 ± 0.000
SAM3 GT bbox,32,0.568,0.680,0.597,0.807,0.801,0.188,0.000
SAM3 YOLO bbox,32,0.507 ± 0.010,0.604 ± 0.012,0.533 ± 0.011,0.709 ± 0.015,0.693 ± 0.016,0.185 ± 0.003,0.000 ± 0.000
