Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.661,0.787,0.692,0.943,0.922,0.198,0.002
SAM1 YOLO bbox,128,0.607 ± 0.003,0.721 ± 0.004,0.633 ± 0.003,0.853 ± 0.007,0.849 ± 0.006,0.178 ± 0.001,0.001 ± 0.000
SAM2 GT bbox,128,0.650,0.777,0.673,0.955,0.912,0.200,0.007
SAM2 YOLO bbox,128,0.596 ± 0.002,0.711 ± 0.003,0.615 ± 0.002,0.865 ± 0.006,0.833 ± 0.003,0.176 ± 0.003,0.006 ± 0.002
SAM3 GT bbox,128,0.667,0.776,0.696,0.897,0.900,0.367,0.009
SAM3 YOLO bbox,128,0.626 ± 0.003,0.728 ± 0.004,0.652 ± 0.003,0.838 ± 0.007,0.844 ± 0.006,0.335 ± 0.005,0.010 ± 0.002
