Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,32,0.937 ± 0.003,0.943 ± 0.003,0.943 ± 0.003,0.944 ± 0.003,0.949 ± 0.004,0.943 ± 0.004,0.925 ± 0.003
SAM2 GT bbox,32,0.856,0.916,0.900,0.948,0.971,0.910,0.439
SAM2 YOLO bbox,32,0.815 ± 0.001,0.872 ± 0.001,0.855 ± 0.001,0.903 ± 0.002,0.925 ± 0.001,0.870 ± 0.006,0.420 ± 0.010
SAM3 GT bbox,32,0.817,0.883,0.902,0.872,0.962,0.873,0.186
SAM3 YOLO bbox,32,0.783 ± 0.004,0.846 ± 0.004,0.864 ± 0.002,0.836 ± 0.005,0.923 ± 0.004,0.836 ± 0.012,0.185 ± 0.009
