Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,32,0.907 ± 0.006,0.917 ± 0.007,0.921 ± 0.009,0.918 ± 0.008,0.924 ± 0.012,0.909 ± 0.009,0.880 ± 0.023
SAM2 GT bbox,32,0.810,0.881,0.880,0.900,0.953,0.797,0.227
SAM2 YOLO bbox,32,0.775 ± 0.005,0.843 ± 0.006,0.849 ± 0.010,0.853 ± 0.006,0.919 ± 0.005,0.758 ± 0.023,0.201 ± 0.016
SAM3 GT bbox,32,0.791,0.873,0.921,0.846,0.969,0.711,0.219
SAM3 YOLO bbox,32,0.733 ± 0.014,0.811 ± 0.013,0.862 ± 0.006,0.780 ± 0.020,0.911 ± 0.012,0.638 ± 0.030,0.164 ± 0.028
