Model,BBox,Human IoU,SAM1 Pseudo IoU,IoU Artışı
SAM1,GT bbox,0.661,1.000,+0.339
SAM1,YOLO bbox,0.607,0.881,+0.274
SAM2,GT bbox,0.650,0.831,+0.181
SAM2,YOLO bbox,0.596,0.760,+0.164
SAM3,GT bbox,0.667,0.775,+0.107
SAM3,YOLO bbox,0.626,0.726,+0.100
