Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,128,0.809,0.821,0.819,0.824,0.833,0.823,0.774
SAM2 GT bbox,128,0.904,0.946,0.945,0.955,0.988,0.938,0.701
SAM2 YOLO bbox,128,0.762,0.795,0.795,0.799,0.833,0.797,0.608
SAM3 GT bbox,128,0.892,0.939,0.949,0.938,0.986,0.926,0.643
SAM3 YOLO bbox,128,0.752,0.790,0.798,0.786,0.832,0.790,0.566
