epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27432.4,1.9109,0.93149,0.00116,0.75086,0.57515,0.58613,0.32736,1.4967,1.24445,0.00151,0.0011882,0.0011882,0.0011882
43,28072.2,1.89752,0.92028,0.00116,0.75409,0.57663,0.58931,0.32618,1.4965,1.02042,0.00151,0.0011684,0.0011684,0.0011684
44,28682.2,1.91735,0.94687,0.00113,0.75205,0.57538,0.58889,0.32835,1.49103,1.0685,0.0015,0.0011486,0.0011486,0.0011486
45,29813.3,1.90948,0.93183,0.00113,0.74932,0.57904,0.59301,0.33179,1.48366,2.09757,0.00149,0.0011288,0.0011288,0.0011288
46,30417.5,1.9204,0.93516,0.00113,0.74237,0.5778,0.59026,0.32792,1.48587,1.5402,0.0015,0.001109,0.001109,0.001109
47,31354.5,1.88174,0.91758,0.00115,0.74599,0.57278,0.58619,0.32703,1.50267,1.0933,0.00151,0.0010892,0.0010892,0.0010892
48,31811.2,1.87161,0.89897,0.00113,0.7529,0.57516,0.58931,0.32881,1.48733,1.10197,0.0015,0.0010694,0.0010694,0.0010694
49,32930.2,1.89145,0.91486,0.00112,0.74207,0.58305,0.59093,0.33138,1.47579,1.7782,0.00149,0.0010496,0.0010496,0.0010496
50,33575.8,1.87186,0.89783,0.00112,0.75476,0.57378,0.59056,0.33052,1.48479,1.80885,0.00149,0.0010298,0.0010298,0.0010298
51,34204.9,1.88031,0.90053,0.00112,0.74944,0.58374,0.59301,0.33197,1.47874,1.20737,0.00149,0.00101,0.00101,0.00101
52,34848.5,1.88271,0.90313,0.00111,0.75025,0.58147,0.59271,0.32838,1.49508,1.15798,0.0015,0.0009902,0.0009902,0.0009902
53,35478.2,1.87843,0.89879,0.00111,0.74581,0.57832,0.58811,0.32991,1.48481,1.10621,0.0015,0.0009704,0.0009704,0.0009704
54,35938,1.86623,0.88837,0.00112,0.75169,0.58153,0.5938,0.33252,1.47706,1.67737,0.00149,0.0009506,0.0009506,0.0009506
55,36579.5,1.8636,0.87859,0.0011,0.75109,0.58078,0.5938,0.33241,1.48037,1.12888,0.00149,0.0009308,0.0009308,0.0009308
56,37039.3,1.85518,0.87407,0.00112,0.74391,0.58493,0.59357,0.33171,1.48476,1.39859,0.0015,0.000911,0.000911,0.000911
57,37822.8,1.85848,0.87306,0.00111,0.74539,0.58278,0.59325,0.3315,1.49345,1.08284,0.00152,0.0008912,0.0008912,0.0008912
58,38639.7,1.8526,0.86946,0.00111,0.74747,0.58328,0.59332,0.33092,1.48506,1.13703,0.0015,0.0008714,0.0008714,0.0008714
59,39417,1.84036,0.85748,0.0011,0.75144,0.57932,0.59248,0.33168,1.48083,1.18467,0.0015,0.0008516,0.0008516,0.0008516
60,40047.6,1.84355,0.87606,0.0011,0.74363,0.58207,0.59135,0.33284,1.47517,1.16699,0.00148,0.0008318,0.0008318,0.0008318
61,40674.9,1.84541,0.8646,0.00109,0.74802,0.57531,0.58685,0.32844,1.49227,1.3933,0.0015,0.000812,0.000812,0.000812
