Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,0.998,0.999,1.000,0.999,1.000,1.000,1.000
SAM1 YOLO bbox,32,0.753 ± 0.034,0.774 ± 0.038,0.763 ± 0.036,0.790 ± 0.042,0.793 ± 0.041,0.761 ± 0.028,0.669 ± 0.008
SAM2 GT bbox,32,0.716,0.827,0.748,0.957,0.932,0.438,0.024
SAM2 YOLO bbox,32,0.553 ± 0.023,0.647 ± 0.029,0.565 ± 0.024,0.784 ± 0.042,0.716 ± 0.025,0.304 ± 0.009,0.013 ± 0.002
SAM3 GT bbox,32,0.633,0.759,0.686,0.907,0.821,0.258,0.005
SAM3 YOLO bbox,32,0.495 ± 0.029,0.601 ± 0.034,0.519 ± 0.032,0.762 ± 0.039,0.631 ± 0.046,0.181 ± 0.014,0.003 ± 0.000
