Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,0.995,0.997,1.000,0.995,1.000,0.992,0.984
SAM1 YOLO bbox,32,0.751 ± 0.008,0.762 ± 0.008,0.766 ± 0.009,0.760 ± 0.007,0.774 ± 0.008,0.758 ± 0.008,0.734 ± 0.016
SAM2 GT bbox,32,0.781,0.872,0.813,0.959,0.976,0.694,0.113
SAM2 YOLO bbox,32,0.613 ± 0.007,0.679 ± 0.007,0.636 ± 0.009,0.745 ± 0.006,0.734 ± 0.014,0.599 ± 0.019,0.094 ± 0.009
SAM3 GT bbox,32,0.664,0.776,0.709,0.925,0.806,0.468,0.032
SAM3 YOLO bbox,32,0.508 ± 0.011,0.593 ± 0.011,0.541 ± 0.013,0.722 ± 0.008,0.605 ± 0.016,0.371 ± 0.032,0.022 ± 0.005
