Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,32,0.999,1.000,1.000,0.999,1.000,1.000,1.000
SAM1 YOLO bbox,32,0.951 ± 0.006,0.958 ± 0.006,0.958 ± 0.006,0.958 ± 0.006,0.965 ± 0.006,0.958 ± 0.006,0.943 ± 0.008
SAM2 GT bbox,32,0.817,0.896,0.837,0.972,0.986,0.846,0.120
SAM2 YOLO bbox,32,0.792 ± 0.005,0.867 ± 0.006,0.810 ± 0.005,0.940 ± 0.006,0.952 ± 0.009,0.828 ± 0.003,0.105 ± 0.001
SAM3 GT bbox,32,0.676,0.778,0.701,0.943,0.778,0.569,0.039
SAM3 YOLO bbox,32,0.654 ± 0.011,0.753 ± 0.012,0.677 ± 0.011,0.913 ± 0.012,0.741 ± 0.016,0.555 ± 0.009,0.035 ± 0.006
