dataset_id,model,bbox_source,detector_seed,baseline_reference,comparison_reference,instance_count,baseline_mean_iou,comparison_mean_iou,delta_iou,delta_ci_lower,delta_ci_upper,confidence_level
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,pseudo_sam2,3713,0.9906331615819841,0.7850188621341495,-0.20561429944783444,-0.2623762865012986,-0.1588199076012162,0.95
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,pseudo_sam3,3713,0.9906331615819841,0.8125812472731347,-0.1780519143088493,-0.21505156703663014,-0.14572997809497268,0.95
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,reproduced_pseudo_sam1,3713,0.9906331615819841,1.0,0.009366838418015945,0.0041744015067792335,0.0168497516818109,0.95
samrs_sota_plane,sam1,yolo_bbox,42,published_samrs_reference,pseudo_sam2,3713,0.8126515326974005,0.6755879623939423,-0.13706357030345823,-0.1672683273639053,-0.11376913284117528,0.95
samrs_sota_plane,sam1,yolo_bbox,42,published_samrs_reference,pseudo_sam3,3713,0.8126515326974005,0.6950009587127286,-0.11765057398467177,-0.13734910825989466,-0.09912235592036746,0.95
samrs_sota_plane,sam1,yolo_bbox,42,published_samrs_reference,reproduced_pseudo_sam1,3713,0.8126515326974005,0.8180486049978571,0.00539707230045666,0.0019670813467532193,0.01066829697443191,0.95
samrs_sota_plane,sam2,gt_bbox,,published_samrs_reference,pseudo_sam2,3713,0.7807864023206073,1.0,0.21921359767939286,0.17326655243851247,0.2741542368370865,0.95
samrs_sota_plane,sam2,gt_bbox,,published_samrs_reference,pseudo_sam3,3713,0.7807864023206073,0.7507231316148086,-0.0300632707057985,-0.046422698360874017,-0.01278597625473245,0.95
samrs_sota_plane,sam2,gt_bbox,,published_samrs_reference,reproduced_pseudo_sam1,3713,0.7807864023206073,0.7850188621341495,0.004232459813542468,0.0006399442050110475,0.009545744762136555,0.95
samrs_sota_plane,sam2,yolo_bbox,42,published_samrs_reference,pseudo_sam2,3713,0.6785809743038224,0.7848432046874624,0.10626223038364009,0.09417951784873846,0.12304771461927322,0.95
samrs_sota_plane,sam2,yolo_bbox,42,published_samrs_reference,pseudo_sam3,3713,0.6785809743038224,0.6431815837476216,-0.035399390556200734,-0.04806701074396021,-0.022421180924348756,0.95
samrs_sota_plane,sam2,yolo_bbox,42,published_samrs_reference,reproduced_pseudo_sam1,3713,0.6785809743038224,0.6822470074448883,0.0036660331410660087,0.000651237270742876,0.008243450530880402,0.95
samrs_sota_plane,sam3,gt_bbox,,published_samrs_reference,pseudo_sam2,3713,0.8076199844210971,0.7507231316148086,-0.05689685280628851,-0.08227363875257228,-0.03664977710248419,0.95
samrs_sota_plane,sam3,gt_bbox,,published_samrs_reference,pseudo_sam3,3713,0.8076199844210971,1.0,0.19238001557890283,0.16104894410925613,0.22974347265478537,0.95
samrs_sota_plane,sam3,gt_bbox,,published_samrs_reference,reproduced_pseudo_sam1,3713,0.8076199844210971,0.8125812472731347,0.0049612628520375995,0.001610746178021237,0.009629820582448895,0.95
samrs_sota_plane,sam3,yolo_bbox,42,published_samrs_reference,pseudo_sam2,3713,0.6912566070314831,0.639006282879381,-0.052250324152102054,-0.0732462568458885,-0.034884545213749604,0.95
samrs_sota_plane,sam3,yolo_bbox,42,published_samrs_reference,pseudo_sam3,3713,0.6912566070314831,0.7993324359416268,0.10807582891014386,0.09111750015457735,0.12820024549923914,0.95
samrs_sota_plane,sam3,yolo_bbox,42,published_samrs_reference,reproduced_pseudo_sam1,3713,0.6912566070314831,0.6953321528860416,0.00407554585455852,0.0015088979443023866,0.007751591317439248,0.95
