dataset_id,model,bbox_source,detector_seed,reference_type,stratum,instance_count,source_scene_count,mean_iou,mean_dice,mean_precision,mean_recall,mean_boundary_iou,iou_ci_lower,iou_ci_upper,confidence_level,bootstrap_samples,success_at_iou_50,success_at_iou_75,success_at_iou_90
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam2,overall,3713,24,0.7850188621341495,0.8698501939792419,0.9565063318812778,0.8172756928033784,,0.729518756464446,0.8313867353756896,0.95,10000,0.9410180447077835,0.6967411796391059,0.2375437651494748
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam2,no_overlap__low_mask_area,286,22,0.7841546708717397,0.869681921430384,0.9643813574801025,0.8121616646650016,,0.7403969783719188,0.8191767353469595,0.95,10000,0.9370629370629371,0.7412587412587412,0.2097902097902098
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam2,no_overlap__high_mask_area,412,14,0.8369691910628677,0.9018829667738704,0.923943273380289,0.8927663803495862,,0.797011713399749,0.8666012465374754,0.95,10000,0.9611650485436893,0.866504854368932,0.32524271844660196
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam2,overlap__low_mask_area,1209,18,0.7014442532527633,0.8147813608194404,0.9572601799451923,0.7328000908760596,,0.6684410954398129,0.7508215942143804,0.95,10000,0.8974358974358975,0.44499586435070304,0.03391232423490488
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam2,overlap__high_mask_area,1806,20,0.8292521541164383,0.8994342708606298,0.9621831427737867,0.8574149239820419,,0.752457171535159,0.8671737462478648,0.95,10000,0.9662236987818383,0.8194905869324474,0.358250276854928
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam3,overall,3713,24,0.8125812472731347,0.8901335697155308,0.8675922743084901,0.9292661535682105,,0.7751081984716003,0.8439650004670545,0.95,10000,0.9754915162941018,0.7834635065984379,0.22730945327228655
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam3,no_overlap__low_mask_area,286,22,0.825215274459415,0.8996442185518073,0.8898474654479803,0.9222439006320253,,0.8064992441971721,0.8389441005393518,0.95,10000,0.986013986013986,0.8391608391608392,0.1888111888111888
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam3,no_overlap__high_mask_area,412,14,0.7981596603774678,0.8765406140337164,0.8259441060202459,0.9496102977406041,,0.7510929656723518,0.8534933277162288,0.95,10000,0.9660194174757282,0.7402912621359223,0.24757281553398058
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam3,overlap__low_mask_area,1209,18,0.7797774374507,0.8708091212828786,0.866542053381931,0.8953229506025557,,0.7531136789095659,0.8123916764633704,0.95,10000,0.9702233250620348,0.7055417700578991,0.07113316790736146
samrs_sota_plane,sam1,gt_bbox,,pseudo_sam3,overlap__high_mask_area,1806,20,0.8358305097875656,0.9046648600415604,0.8742721069602465,0.9484599018108458,,0.7739759973832074,0.8658317239761899,0.95,10000,0.9795127353266888,0.8366555924695459,0.3333333333333333
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,overall,3713,24,0.9906331615819841,0.9926178349568846,0.9935720897825195,0.9925310560726169,,0.9831502483181892,0.9958255984932208,0.95,10000,0.992728252087261,0.9908429841098841,0.9868031241583625
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,no_overlap__low_mask_area,286,22,0.9788928024003385,0.9814169119299164,0.9806551059113338,0.98383628097465,,0.9506434141106908,0.99382533524214,0.95,10000,0.9790209790209791,0.9790209790209791,0.972027972027972
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,no_overlap__high_mask_area,412,14,0.9787143831170037,0.9839126112098053,0.9872878242326486,0.9833312742054914,,0.9598649592071644,0.9945062082614663,0.95,10000,0.9805825242718447,0.9757281553398058,0.9660194174757282
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,overlap__low_mask_area,1209,18,0.996638996554212,0.9979163058650928,0.9989727083141128,0.9969705212258222,,0.9944690768423896,0.9980584743660548,0.95,10000,0.9991728701406121,0.9983457402812241,0.9958643507030603
samrs_sota_plane,sam1,gt_bbox,,published_samrs_reference,overlap__high_mask_area,1806,20,0.9911908719762802,0.9928305508159576,0.9934358921020155,0.9930347672780704,,0.9818626265311573,0.9974600046277072,0.95,10000,0.9933554817275747,0.991140642303433,0.9878183831672204
samrs_sota_plane,sam1,gt_bbox,,reproduced_pseudo_sam1,overall,3713,24,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_plane,sam1,gt_bbox,,reproduced_pseudo_sam1,no_overlap__low_mask_area,286,22,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_plane,sam1,gt_bbox,,reproduced_pseudo_sam1,no_overlap__high_mask_area,412,14,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_plane,sam1,gt_bbox,,reproduced_pseudo_sam1,overlap__low_mask_area,1209,18,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_plane,sam1,gt_bbox,,reproduced_pseudo_sam1,overlap__high_mask_area,1806,20,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_plane,sam1,yolo_bbox,42,pseudo_sam2,overall,3713,24,0.6755879623939423,0.7432912158684852,0.8103307696559101,0.7010698768227523,,0.567604146353203,0.7648810625304197,0.95,10000,0.8039321303528144,0.6210611365472664,0.22757877726905468
samrs_sota_plane,sam1,yolo_bbox,42,pseudo_sam2,no_overlap__low_mask_area,286,22,0.6465985110233047,0.7140150369373136,0.7780895474564744,0.6760629499317985,,0.5605832842438613,0.7147920901963527,0.95,10000,0.7622377622377622,0.6188811188811189,0.2097902097902098
samrs_sota_plane,sam1,yolo_bbox,42,pseudo_sam2,no_overlap__high_mask_area,412,14,0.7860092049318071,0.8486168172402266,0.8659978492944799,0.8457286400328927,,0.7387927701289196,0.8244048386687595,0.95,10000,0.912621359223301,0.7961165048543689,0.3131067961165049
samrs_sota_plane,sam1,yolo_bbox,42,pseudo_sam2,overlap__low_mask_area,1209,18,0.5047994587660857,0.5829583136534789,0.6860375045195545,0.5203097297730785,,0.4067452956738985,0.6259806021652425,0.95,10000,0.6418527708850289,0.3399503722084367,0.030603804797353185
samrs_sota_plane,sam1,yolo_bbox,42,pseudo_sam2,overlap__high_mask_area,1806,20,0.7693203721682949,0.8312321450972228,0.8859435660500419,0.7930364263417393,,0.6538497265270448,0.8289232323799952,0.95,10000,0.8942414174972314,0.769656699889258,0.3427464008859358
