dataset_id,bbox_source,detector_seed,stratum,model,baseline_reference,own_reference,cross_references,instance_count,source_scene_count,self_vs_cross_iou,self_vs_cross_ci_lower,self_vs_cross_ci_upper,relative_advantage_did,relative_advantage_did_ci_lower,relative_advantage_did_ci_upper,confidence_level,bootstrap_samples,identity_control
isaid_small_vehicle,yolo_bbox,42,no_overlap__low_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,522,25,0.06112292476018629,0.0466869629264779,0.07543972980604541,0.051640963979461024,0.03771508822777547,0.06633229241319397,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,no_overlap__high_mask_area,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,1512,21,0.07469928042381178,0.06601222326677257,0.08525412739363061,0.08303669290223648,0.07033387311532188,0.09680146998212033,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,no_overlap__high_mask_area,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,1512,21,0.04318838963335123,0.03659339721989091,0.0504950447526655,0.05022507791706875,0.04536422633801566,0.05676628177854262,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,no_overlap__high_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,1512,21,0.05595879991867422,0.04813864204574264,0.06257675048896953,0.04058469915653201,0.03543452112154608,0.04638604145401843,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,overlap__low_mask_area,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,1582,21,0.08085949082530376,0.06209130942315575,0.09889734136249215,0.08097050743504988,0.062164712958042545,0.0996601849928373,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,overlap__low_mask_area,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,1582,21,0.06869259170432092,0.05008328269776047,0.08636797877271153,0.07916279481805588,0.058495302989265786,0.10022705629998617,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,overlap__low_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,1582,21,0.06360538428794694,0.046611232411854685,0.08158937705864963,0.053024164564465834,0.03966658449832523,0.06640099176856823,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,overlap__high_mask_area,sam1,human,pseudo_sam1,pseudo_sam2+pseudo_sam3,8435,20,0.10599822543906734,0.09535919097935776,0.11969879650746672,0.10194526489161208,0.09290581467484457,0.11393855155481941,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,overlap__high_mask_area,sam2,human,pseudo_sam2,pseudo_sam1+pseudo_sam3,8435,20,0.08062328000648705,0.06768401560891495,0.09008765213676874,0.10623848801984702,0.09145138409791613,0.1184245995976314,0.95,10000,False
isaid_small_vehicle,yolo_bbox,42,overlap__high_mask_area,sam3,human,pseudo_sam3,pseudo_sam1+pseudo_sam2,8435,20,0.08087585618683837,0.07367315564237559,0.08998378382407281,0.059313608720933664,0.05371813135185904,0.06672814172464127,0.95,10000,False
