dataset_id,model,bbox_source,detector_seed,reference_type,stratum,instance_count,source_scene_count,mean_iou,mean_dice,mean_precision,mean_recall,mean_boundary_iou,iou_ci_lower,iou_ci_upper,confidence_level,bootstrap_samples,success_at_iou_50,success_at_iou_75,success_at_iou_90
isaid_small_vehicle,sam1,gt_bbox,,human,overall,12051,31,0.6575328910593564,0.778967075972353,0.732888869823949,0.8774375069488155,,0.6179828897222334,0.70757851145138,0.95,10000,0.8380217409343623,0.34055265123226286,0.01817276574558128
isaid_small_vehicle,sam1,gt_bbox,,human,no_overlap__low_mask_area,522,25,0.6802092514487079,0.8002568588033051,0.7438294218725316,0.9018286627670221,,0.654508256012346,0.7067059691390951,0.95,10000,0.9406130268199234,0.34099616858237547,0.01532567049808429
isaid_small_vehicle,sam1,gt_bbox,,human,no_overlap__high_mask_area,1512,21,0.7530823770057969,0.852876883885743,0.8070286939128978,0.9283364872874844,,0.7284504882730934,0.7749365477703272,0.95,10000,0.9748677248677249,0.5740740740740741,0.05952380952380952
isaid_small_vehicle,sam1,gt_bbox,,human,overlap__low_mask_area,1582,21,0.5653759845582139,0.7024333264730981,0.6482162278626225,0.8523760508396393,,0.514741031225785,0.6166238421648229,0.95,10000,0.6769911504424779,0.15486725663716813,0.004424778761061947
isaid_small_vehicle,sam1,gt_bbox,,human,overlap__high_mask_area,8435,20,0.6562862216118814,0.7787550422444359,0.7348025316367491,0.8715045824622172,,0.6102901553803441,0.7228358727792421,0.95,10000,0.837344398340249,0.33349140486069945,0.013515115589804387
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam1,overall,12051,31,0.9984233673554062,0.9984233673554062,0.9984233673554062,0.9984233673554062,,0.9967921144705288,0.9999008956501825,0.95,10000,0.9984233673554062,0.9984233673554062,0.9984233673554062
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam1,no_overlap__low_mask_area,522,25,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam1,no_overlap__high_mask_area,1512,21,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam1,overlap__low_mask_area,1582,21,0.9974715549936789,0.9974715549936789,0.9974715549936789,0.9974715549936789,,0.992712521098665,1.0,0.95,10000,0.9974715549936789,0.9974715549936789,0.9974715549936789
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam1,overlap__high_mask_area,8435,20,0.998221695317131,0.998221695317131,0.998221695317131,0.998221695317131,,0.9962273707707273,1.0,0.95,10000,0.998221695317131,0.998221695317131,0.998221695317131
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam2,overall,12051,31,0.7485399968750714,0.8419910090238294,0.8979242897306365,0.8243698186908524,,0.7123032293288613,0.7977821854250345,0.95,10000,0.905899925317401,0.6023566509003402,0.18629159405858434
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam2,no_overlap__low_mask_area,522,25,0.7991261774562936,0.8806328282945607,0.9115079836609093,0.8725463614341911,,0.7679690654949416,0.8238488589296148,0.95,10000,0.9693486590038314,0.7547892720306514,0.18582375478927204
