Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.770,0.855,0.878,0.845,0.948,0.746,0.032
SAM1 YOLO bbox,128,0.730,0.805,0.827,0.794,0.895,0.724,0.051
SAM2 GT bbox,128,0.756,0.845,0.826,0.878,0.943,0.715,0.020
SAM2 YOLO bbox,128,0.718,0.797,0.784,0.822,0.891,0.692,0.038
SAM3 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM3 YOLO bbox,128,0.850,0.869,0.880,0.860,0.890,0.879,0.795
