epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4596.57,0.80696,0.47288,0.00336,0.93328,0.84865,0.91271,0.73584,0.88584,0.5402,0.00465,0.0011882,0.0011882,0.0011882
43,4706.71,0.81125,0.50227,0.00325,0.92826,0.87432,0.92239,0.74166,0.85987,0.54035,0.00448,0.0011684,0.0011684,0.0011684
44,4816.12,0.79401,0.46463,0.00305,0.89892,0.85946,0.91716,0.74238,0.86753,0.56115,0.00459,0.0011486,0.0011486,0.0011486
45,4925.37,0.79544,0.46489,0.00307,0.94942,0.82703,0.91055,0.72775,0.87841,0.57261,0.00463,0.0011288,0.0011288,0.0011288
46,5033.63,0.79071,0.4621,0.00308,0.94034,0.87387,0.92446,0.74141,0.87595,0.50774,0.00462,0.001109,0.001109,0.001109
47,5141.93,0.80755,0.50253,0.00296,0.9438,0.83423,0.90778,0.72348,0.86859,0.63497,0.00457,0.0010892,0.0010892,0.0010892
48,5250.63,0.76782,0.47401,0.00297,0.94579,0.87748,0.92325,0.74541,0.85837,0.5124,0.0045,0.0010694,0.0010694,0.0010694
49,5360.65,0.76609,0.46061,0.00291,0.93919,0.86266,0.91867,0.73685,0.85484,0.51511,0.00443,0.0010496,0.0010496,0.0010496
50,5469.25,0.78949,0.46478,0.00307,0.93792,0.88198,0.92639,0.75798,0.81542,0.4953,0.00408,0.0010298,0.0010298,0.0010298
51,5579.12,0.74615,0.42934,0.00281,0.95341,0.86654,0.92412,0.74975,0.84948,0.47479,0.00454,0.00101,0.00101,0.00101
52,5687.78,0.75558,0.43099,0.00298,0.94594,0.85128,0.92177,0.74287,0.86643,0.53697,0.00452,0.0009902,0.0009902,0.0009902
53,5796.48,0.77492,0.45347,0.00281,0.93457,0.88378,0.9381,0.75923,0.84696,0.45193,0.00456,0.0009704,0.0009704,0.0009704
54,5906.63,0.75097,0.43028,0.00287,0.93197,0.86392,0.91198,0.74135,0.86657,0.52837,0.00446,0.0009506,0.0009506,0.0009506
55,6015.15,0.76861,0.45157,0.00297,0.90198,0.87207,0.91804,0.7418,0.83509,0.54979,0.00413,0.0009308,0.0009308,0.0009308
