Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.565,0.702,0.648,0.852,0.677,0.155,0.004
SAM1 YOLO bbox,128,0.298,0.371,0.334,0.457,0.359,0.076,0.003
SAM2 GT bbox,128,0.564,0.705,0.616,0.884,0.677,0.131,0.004
SAM2 YOLO bbox,128,0.286,0.361,0.312,0.465,0.350,0.055,0.001
SAM3 GT bbox,128,0.346,0.435,0.380,0.548,0.429,0.058,0.000
SAM3 YOLO bbox,128,0.220,0.277,0.242,0.347,0.267,0.035,0.000
