Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.846,0.909,0.948,0.887,0.967,0.892,0.360
SAM1 YOLO bbox,128,0.763,0.820,0.852,0.800,0.873,0.808,0.315
SAM2 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM2 YOLO bbox,128,0.860,0.876,0.877,0.878,0.889,0.866,0.801
SAM3 GT bbox,128,0.809,0.887,0.965,0.833,0.965,0.814,0.162
SAM3 YOLO bbox,128,0.727,0.798,0.866,0.750,0.872,0.727,0.135
