image,pipeline,pipeline_label,stratum,overlap_group,stratify_group,area_group,count_group,num_objects,mask_area_ratio,max_pair_bbox_iou,iou,dice,precision,recall,pred_area_ratio
P0331_0003.jpg,yolo_sam2,YOLO + SAM2,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,9,0.0047893524169921,0.0,0.5055130168453292,0.6715491811616315,0.6340760660776028,0.7137297297297297,1.1256216216216217
P0331_0003.jpg,grounded_sam2,GroundingDINO + SAM2,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,9,0.0047893524169921,0.0,0.06700761924642522,0.12559913919593074,0.0679209352353076,0.8328648648648649,12.262270270270271
P0331_0003.jpg,segearth_ov3,SegEarth-OV3 + SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,9,0.0047893524169921,0.0,0.39737922323965896,0.5687492938651,0.5955986748698533,0.5442162162162162,0.9137297297297298
P0331_0003.jpg,remotesam_text,RemoteSAM text,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,9,0.0047893524169921,0.0,0.5676260825267447,0.724185555284751,0.5800364393545029,0.9636756756756757,1.6614054054054055
P0331_0003.jpg,yolo_ringmo_sam,YOLO + RingMo-SAM,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,9,0.0047893524169921,0.0,0.3738446411012783,0.544231319782422,0.8051673019906819,0.41102702702702704,0.5104864864864865
P0331_0003.jpg,gt_box_ringmo_sam,GT bbox + RingMo-SAM,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,9,0.0047893524169921,0.0,0.4468909276248726,0.617725799633648,0.8867313915857605,0.47394594594594597,0.5344864864864864
P0725_0000.jpg,sam3_text,SAM3 text-only,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.19932794026135656,0.33239939397712887,0.20254957507082152,0.9261015381057014,4.572221579738637
P0725_0000.jpg,yolo_sam3,YOLO + SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.7416448968561391,0.8516602875762904,0.7703752222326191,0.9521221232797502,1.2359199722447092
P0725_0000.jpg,gt_box_sam3,GT bbox + SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.7398996567203592,0.8505084231294582,0.7559352517985611,0.9721290621024633,1.2859951428241008
P0725_0000.jpg,yolo_sam2,YOLO + SAM2,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.7657048940832725,0.8673078911986761,0.7843980918529604,0.9698161211981033,1.2363825604255811
P0725_0000.jpg,grounded_sam2,GroundingDINO + SAM2,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.07495700925773244,0.1394604781627331,0.07702828647163486,0.7359777957673181,9.554643228865503
P0725_0000.jpg,segearth_ov3,SegEarth-OV3 + SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.20180022502812853,0.3358299005534057,0.2047489789187955,0.9333873019544351,4.558690875448132
P0725_0000.jpg,remotesam_text,RemoteSAM text,no_overlap__high_mask_area,no_overlap,high_mask_area,high_mask_area,,17,0.0089015960693359,0.0,0.670049943612051,0.8024310245031835,0.6882912701696318,0.9619521221232797,1.3975945414594657
