pipeline,pipeline_label,images,mean_iou,median_iou,mean_dice,mean_precision,mean_recall,mean_pred_area_ratio,zero_iou_images
grounded_sam2,GroundingDINO + SAM2,128,0.07126625658197795,0.031216410465679363,0.11956106493861395,0.10591645744200874,0.3734175744683398,82.82538301847505,21
gt_box_ringmo_sam,GT bbox + RingMo-SAM,128,0.262539017004306,0.2059430852684601,0.35922134178635456,0.7246855147148301,0.28147690714567997,0.3257440471634701,22
gt_box_sam3,GT bbox + SAM3,128,0.5229969829302982,0.5767366779206144,0.6510007848475342,0.5826325633865252,0.8072444471443594,3.970814227821931,5
remotesam_text,RemoteSAM text,128,0.3850283923632608,0.4149693196711546,0.5132474004867816,0.5243810730842068,0.5992942325772017,2.8578280606900215,8
sam3_text,SAM3 text-only,128,0.2738735102207863,0.20117023830361314,0.37818379857670614,0.3589233392430563,0.5850178642756432,21.438457382701387,17
segearth_ov3,SegEarth-OV3 + SAM3,128,0.29515604160891856,0.22086759798413186,0.4027106996350076,0.35987852483520594,0.644870016086555,21.483050705254815,14
yolo_ringmo_sam,YOLO + RingMo-SAM,128,0.23493972895463416,0.1718262219901873,0.32664872536535705,0.6291648470633073,0.26299980609259227,0.44354625418949517,27
yolo_sam2,YOLO + SAM2,128,0.43364673418780636,0.4588043884804665,0.5614982696525792,0.5494167626439853,0.6548921212384635,1.8825649431214686,10
yolo_sam3,YOLO + SAM3,128,0.40758919492126744,0.4321612021518356,0.5327734846868888,0.513041675663317,0.6485256906590384,4.231864616033814,11
