dataset_id,model,bbox_source,detector_seed,pseudo_reference,instance_count,human_mean_iou,pseudo_mean_iou,delta_iou,delta_ci_lower,delta_ci_upper,confidence_level
isaid_plane,sam1,gt_bbox,,pseudo_sam1,5447,0.6527025169603249,1.0,0.3472974830396752,0.3311533990109479,0.3685205907336152,0.95
isaid_plane,sam1,gt_bbox,,pseudo_sam2,5447,0.6527025169603249,0.8273189116273787,0.17461639466705398,0.1585881832376679,0.18900405046905522,0.95
isaid_plane,sam1,gt_bbox,,pseudo_sam3,5447,0.6527025169603249,0.7949247800890236,0.14222226312869887,0.1288111015007339,0.1544282726417844,0.95
isaid_plane,sam1,yolo_bbox,42,pseudo_sam1,5447,0.5970314955585126,0.8732640601740904,0.2762325646155778,0.2574210201188938,0.2968160524162301,0.95
isaid_plane,sam1,yolo_bbox,42,pseudo_sam2,5447,0.5970314955585126,0.7485937932281735,0.15156229766966092,0.13557275591234286,0.16628236278867964,0.95
isaid_plane,sam1,yolo_bbox,42,pseudo_sam3,5447,0.5970314955585126,0.7466143997216507,0.14958290416313802,0.13579369285280612,0.1626263283620433,0.95
isaid_plane,sam2,gt_bbox,,pseudo_sam1,5447,0.6292217311328365,0.8273189116273787,0.19809718049454234,0.18036508895951223,0.21509428197489652,0.95
isaid_plane,sam2,gt_bbox,,pseudo_sam2,5447,0.6292217311328365,1.0,0.37077826886716353,0.35215264468628094,0.39568284163602385,0.95
isaid_plane,sam2,gt_bbox,,pseudo_sam3,5447,0.6292217311328365,0.7934393623100813,0.1642176311772448,0.1513633816893082,0.17613590006040053,0.95
isaid_plane,sam2,yolo_bbox,42,pseudo_sam1,5447,0.5736589172420743,0.7504250069866714,0.17676608974459715,0.15800004774929596,0.19473010340505467,0.95
isaid_plane,sam2,yolo_bbox,42,pseudo_sam2,5447,0.5736589172420743,0.8525695107019967,0.2789105934599224,0.2580231013171094,0.30206163053020724,0.95
isaid_plane,sam2,yolo_bbox,42,pseudo_sam3,5447,0.5736589172420743,0.7438510664955147,0.17019214925344034,0.15547957444155627,0.18456352398714362,0.95
isaid_plane,sam3,gt_bbox,,pseudo_sam1,5447,0.6553861538620105,0.7949247800890236,0.13953862622701318,0.1208573991743076,0.15605721421057847,0.95
isaid_plane,sam3,gt_bbox,,pseudo_sam2,5447,0.6553861538620105,0.7934393623100813,0.13805320844807076,0.12369236432042627,0.1510773937121308,0.95
isaid_plane,sam3,gt_bbox,,pseudo_sam3,5447,0.6553861538620105,1.0,0.3446138461379895,0.3237139103276212,0.37248439939060085,0.95
isaid_plane,sam3,yolo_bbox,42,pseudo_sam1,5447,0.5947494153334989,0.7205742746606664,0.12582485932716747,0.10556499122491958,0.14261416290946,0.95
isaid_plane,sam3,yolo_bbox,42,pseudo_sam2,5447,0.5947494153334989,0.7175508165383317,0.12280140120483297,0.10651920653302964,0.1365994914723352,0.95
isaid_plane,sam3,yolo_bbox,42,pseudo_sam3,5447,0.5947494153334989,0.8583286618577062,0.26357924652420733,0.24213261455994042,0.287546809608601,0.95
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam1,12051,0.6575328910593564,1.0,0.3424671089406435,0.29242148854862005,0.3820171102777667,0.95
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam2,12051,0.6575328910593564,0.7485414109943758,0.09100851993501942,0.07544317678508404,0.10904281622673608,0.95
isaid_small_vehicle,sam1,gt_bbox,,pseudo_sam3,12051,0.6575328910593564,0.41935953192712055,-0.23817335913223592,-0.323084762095311,-0.12178234823141594,0.95
isaid_small_vehicle,sam1,yolo_bbox,42,pseudo_sam1,12051,0.477965949172931,0.655206445150571,0.17724049597764,0.1602826270823598,0.19483488354376255,0.95
isaid_small_vehicle,sam1,yolo_bbox,42,pseudo_sam2,12051,0.477965949172931,0.5506104851859526,0.07264453601302154,0.05834620334804757,0.08675425061503042,0.95
isaid_small_vehicle,sam1,yolo_bbox,42,pseudo_sam3,12051,0.477965949172931,0.5387192790831098,0.0607533299101788,-0.026114315739291263,0.13118496621810027,0.95
isaid_small_vehicle,sam2,gt_bbox,,pseudo_sam1,12051,0.6452277917493195,0.7485414109943758,0.10331361924505635,0.08428084428941127,0.12108073260991878,0.95
isaid_small_vehicle,sam2,gt_bbox,,pseudo_sam2,12051,0.6452277917493195,1.0,0.35477220825068045,0.2951020338922886,0.4008071096802004,0.95
isaid_small_vehicle,sam2,gt_bbox,,pseudo_sam3,12051,0.6452277917493195,0.4197453269372218,-0.22548246481209774,-0.3056908901884035,-0.1168622290162653,0.95
isaid_small_vehicle,sam2,yolo_bbox,42,pseudo_sam1,12051,0.46084501115678167,0.5501616971975826,0.08931668604080098,0.07734825722024408,0.09989235515055536,0.95
isaid_small_vehicle,sam2,yolo_bbox,42,pseudo_sam2,12051,0.46084501115678167,0.623650244565607,0.16280523340882538,0.14277604362251434,0.18007478790144274,0.95
isaid_small_vehicle,sam2,yolo_bbox,42,pseudo_sam3,12051,0.46084501115678167,0.5390543817437997,0.0782093705870181,-0.0064985574462103615,0.14776351507735788,0.95
isaid_small_vehicle,sam3,gt_bbox,,pseudo_sam1,12051,0.3700265572426331,0.41935953192712055,0.049332974684487434,0.03841486818107774,0.06526072709469187,0.95
