Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,128,0.881,0.893,0.903,0.889,0.902,0.876,0.828
SAM2 GT bbox,128,0.820,0.889,0.896,0.900,0.957,0.826,0.310
SAM2 YOLO bbox,128,0.758,0.822,0.835,0.825,0.886,0.743,0.291
SAM3 GT bbox,128,0.778,0.864,0.945,0.813,0.955,0.662,0.211
SAM3 YOLO bbox,128,0.716,0.795,0.876,0.741,0.883,0.603,0.211
