Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.339,0.383,0.416,0.364,0.424,0.269,0.032
SAM1 YOLO bbox,128,0.513,0.551,0.579,0.535,0.587,0.461,0.241
SAM2 GT bbox,128,0.337,0.382,0.403,0.371,0.425,0.266,0.029
SAM2 YOLO bbox,128,0.512,0.551,0.569,0.541,0.589,0.456,0.240
SAM3 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM3 YOLO bbox,128,0.885,0.894,0.896,0.892,0.903,0.896,0.852
