Model,BBox,Human IoU,Reference IoU,IoU Farkı
SAM1,GT bbox,0.658,0.419,-0.238
SAM1,YOLO bbox,0.478,0.539,+0.061
SAM2,GT bbox,0.645,0.420,-0.225
SAM2,YOLO bbox,0.461,0.539,+0.078
SAM3,GT bbox,0.370,1.000,+0.630
SAM3,YOLO bbox,0.299,0.838,+0.539
