Table,Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,Pred/GT Area,mAP50 proxy,mAP75 proxy,mAP90 proxy,mAP50-95 proxy
Overlap / High Mask Area,SAM3 text only,128,0.6752,0.7814,0.8072,0.7805,1.0286,0.8125,0.4922,0.0234,0.4719
Overlap / High Mask Area,SAM3 YOLO bbox,128,0.6929,0.7880,0.7768,0.8273,1.1288,0.8125,0.6094,0.0469,0.5188
Overlap / High Mask Area,SAM3 GT bbox,128,0.7391,0.8330,0.8060,0.8820,1.1479,0.8594,0.6953,0.0547,0.5719
Overlap / High Mask Area,SAM3 hybrid YOLO bbox,128,0.6920,0.7879,0.7758,0.8249,1.1040,0.8047,0.6172,0.0469,0.5172
Overlap / High Mask Area,RemoteSAM text only,128,0.8246,0.9002,0.8555,0.9571,1.1364,0.9844,0.8281,0.1719,0.7000
Overlap / High Mask Area,RingMo-SAM GT bbox,128,0.0011,0.0022,0.2614,0.0011,0.0043,0.0000,0.0000,0.0000,0.0000
Overlap / High Mask Area,RingMo-SAM YOLO bbox,128,0.0010,0.0019,0.2385,0.0010,0.0021,0.0000,0.0000,0.0000,0.0000
Overlap / High Mask Area,SAM1 GT bbox,128,0.9202,0.9536,0.9557,0.9587,1.0225,0.9844,0.9141,0.8203,0.8906
Overlap / High Mask Area,SAM1 YOLO bbox,128,0.7788,0.8451,0.8674,0.8504,0.9701,0.8594,0.7734,0.4062,0.6711
Overlap / High Mask Area,SAM2 GT bbox,128,0.8377,0.9060,0.9001,0.9178,1.0264,0.9766,0.8672,0.2578,0.7336
Overlap / High Mask Area,SAM2 YOLO bbox,128,0.7046,0.7989,0.8067,0.8227,1.0152,0.8359,0.6484,0.0391,0.5297
