image,pipeline,pipeline_label,family,stratum,overlap_group,area_group,num_objects,mask_area_ratio,max_pair_bbox_iou,iou,dice,precision,recall,pred_area_ratio
P1144_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0337696075439453,0.0,0.6950375790154796,0.8200851563647041,0.8540672782874618,0.7887037560011296,0.9234679469076532
P1148_0026.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0368223190307617,0.0,0.5541979246215354,0.7131626105555234,0.5678014206158047,0.9585610318303074,1.6881976638781695
P1156_0006.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0190067291259765,0.0,0.18537661177935028,0.3127725145531332,0.20243794326241135,0.6874560963371801,3.395885599598595
P1161_0017.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0298404693603515,0.0,0.20908860438585372,0.3458615086229491,0.9612470862470862,0.21086609140300416,0.21936720997123682
P1161_0018.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0712604522705078,0.0,0.45613906410444477,0.6265048103561175,0.6775669660228175,0.5825995021546533,0.8598404753620085
P1161_0025.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0585927963256835,0.0,0.5087935476643889,0.6744375974459871,0.7845745255111956,0.5914158759094387,0.7538045866631944
P1161_0051.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.040130615234375,0.0,0.3471655855817786,0.5154015056461732,0.7578874538745387,0.39047053231939166,0.5152091254752852
P1179_0029.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,4,0.0172548294067382,0.0,0.7718372674861308,0.871228167111766,0.9797707815520574,0.7843364837229868,0.8005305919416349
P1394_0017.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,18,0.0320796966552734,0.0,0.9156335394793614,0.955958977131102,0.9658060013956734,0.946310720019026,0.9798144955110292
P1395_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0204420089721679,0.0,0.6677123961336273,0.8007524530987848,0.879740825559962,0.7347795661301609,0.8352227665033823
P1395_0012.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.042877197265625,0.0,0.52085517329013,0.6849503916449086,0.6456389052963182,0.7293594306049822,1.1296708185053381
P1395_0023.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,17,0.0187721252441406,0.0,0.8270584495208684,0.9053442704449416,0.886352574710406,0.9251676488518594,1.0437919122129649
P1398_0001.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,6,0.1192693710327148,0.0,0.8407450757929356,0.9134834441219611,0.8918503058325272,0.9361921591517876,1.0497189416534067
P1398_0026.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0771703720092773,0.0,0.27354973430058754,0.42958626103568154,0.31261749046005605,0.6864148098716,2.1957018747142203
P1398_0028.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0776653289794921,0.0,0.36966269328707974,0.5397864672796471,0.3718998292121482,0.9839878189542965,2.645841007883298
P1398_0032.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.073394775390625,0.0,0.4085084721111192,0.5800582391937382,0.4812549261505774,0.7299116424116424,1.5166839916839916
P1399_0016.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0251836776733398,0.0,0.9544149187538624,0.9766758425712373,0.9597178053149102,0.994243950467679,1.0359753095770061
P1399_0049.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,8,0.1047525405883789,0.0,0.7459234623138232,0.8544744124410493,0.9190693287218991,0.7983630884642346,0.8686647062572264
P1399_0058.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,25,0.1057338714599609,0.0,0.7343017294415203,0.8467981285793679,0.7520319796136964,0.9688914945431587,1.2883647515107783
P1399_0063.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0890579223632812,0.0,0.5151392719330604,0.6799893336218924,0.5319852696631252,0.9420885804848796,1.7708922299323224
P1403_0011.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,6,0.0339422225952148,0.0,0.7350346740638003,0.8472852849011959,0.9829728827391772,0.7445140625439015,0.7574105813267399
P1403_0023.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0225963592529296,0.0,0.7400765582092036,0.8506252839482557,0.9812434489987312,0.7506963788300836,0.7650460032075631
P1408_0055.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0185298919677734,0.0,0.7242547123568468,0.84007856515222,0.8436980897009967,0.8364899639732373,0.9914565105506948
P1408_0061.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0186281204223632,0.0,0.774637393204848,0.8730092087216951,0.9630109917253303,0.7983924640352225,0.8290585163569344
P1413_0016.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,4,0.0246658325195312,0.0,0.8091765420844728,0.8945246892845146,0.9786843072399853,0.8236931642437365,0.8416331580575317
P1413_0030.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0185127258300781,0.0,0.8270710935009337,0.9053518458508861,0.8770828302342429,0.9355038120750051,1.0666082835359572
P1414_0009.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0209245681762695,0.0,0.4777000511858045,0.646545353777942,0.6552918597575247,0.6380292602889568,0.973656624584112
P1479_0008.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0258607864379882,0.0,0.5673431734317343,0.723955267804591,0.7461255479023169,0.7030644982852086,0.9422871261570233
P1480_0004.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0445003509521484,0.0,0.6315845550630753,0.7741977614376951,0.9911051663601405,0.6351849470661352,0.6408855171231409
P1480_0006.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0335779190063476,0.0,0.6643839461128263,0.7983541870425955,0.9825260449093097,0.6723280979295067,0.6842852679712573
P1480_0008.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0446138381958007,0.0,0.6600748490261121,0.7952350454720123,0.9921058518968328,0.6635599923045681,0.668839913640153
