Experiment,Published vs reproduced SAM1 IoU,Instances,Interpretation
SAMRS Plane,0.990633,3713,SAM1-like published reference; not human GT
SAMRS Small Vehicle,0.998338,7659,SAM1-like published reference; not human GT
