dataset_id,model,bbox_source,detector_seed,baseline_reference,comparison_reference,instance_count,baseline_mean_iou,comparison_mean_iou,delta_iou,delta_ci_lower,delta_ci_upper,confidence_level
isaid_plane,sam1,gt_bbox,,human,pseudo_sam1,5447,0.6527027274564086,1.0,0.3472972725435915,0.331152817003088,0.3685203507693314,0.95
isaid_plane,sam1,gt_bbox,,human,pseudo_sam2,5447,0.6527027274564086,0.8273187777080351,0.1746160502516267,0.15858740935948917,0.1890041204204102,0.95
isaid_plane,sam1,gt_bbox,,human,pseudo_sam3,5447,0.6527027274564086,0.820026552790073,0.16732382533366452,0.15101598966143934,0.18209752749425495,0.95
isaid_plane,sam1,yolo_bbox,42,human,pseudo_sam1,5447,0.5970331522376127,0.8732656277959695,0.2762324755583568,0.2574209610339204,0.2968147669654585,0.95
isaid_plane,sam1,yolo_bbox,42,human,pseudo_sam2,5447,0.5970331522376127,0.748595503194902,0.15156235095728926,0.13557226196693534,0.16628339308343232,0.95
isaid_plane,sam1,yolo_bbox,42,human,pseudo_sam3,5447,0.5970331522376127,0.7419710993282577,0.14493794709064495,0.12956635082883217,0.15813689189221017,0.95
isaid_plane,sam2,gt_bbox,,human,pseudo_sam1,5447,0.629222152321174,0.8273187777080351,0.19809662538686115,0.18036460278209915,0.2150938619573659,0.95
isaid_plane,sam2,gt_bbox,,human,pseudo_sam2,5447,0.629222152321174,1.0,0.37077784767882604,0.35215206654251513,0.3956823373904006,0.95
isaid_plane,sam2,gt_bbox,,human,pseudo_sam3,5447,0.629222152321174,0.7836781418120458,0.1544559894908717,0.1415684444191151,0.1683846423108751,0.95
isaid_plane,sam2,yolo_bbox,42,human,pseudo_sam1,5447,0.5736598669199273,0.7504259593326125,0.17676609241268518,0.15800002822788742,0.19472989511607394,0.95
isaid_plane,sam2,yolo_bbox,42,human,pseudo_sam2,5447,0.5736598669199273,0.852569827201717,0.27890996028178966,0.25802275203596187,0.3020611267693129,0.95
isaid_plane,sam2,yolo_bbox,42,human,pseudo_sam3,5447,0.5736598669199273,0.7060199982663811,0.13236013134645383,0.12043596332981348,0.1435573490561653,0.95
isaid_plane,sam3,gt_bbox,,human,pseudo_sam1,5447,0.6998762300765591,0.820026552790073,0.12015032271351377,0.0971625665620994,0.1396067592392664,0.95
isaid_plane,sam3,gt_bbox,,human,pseudo_sam2,5447,0.6998762300765591,0.7836781418120458,0.08380191173548646,0.06605974472223741,0.10138246055308181,0.95
isaid_plane,sam3,gt_bbox,,human,pseudo_sam3,5447,0.6998762300765591,1.0,0.3001237699234408,0.28499192077023494,0.3199680596816109,0.95
isaid_plane,sam3,yolo_bbox,42,human,pseudo_sam1,5447,0.6383571654262823,0.7410671814435845,0.10271001601730223,0.08037790217969534,0.12114220279297161,0.95
isaid_plane,sam3,yolo_bbox,42,human,pseudo_sam2,5447,0.6383571654262823,0.702415173953331,0.06405800852704865,0.04626257170626018,0.08105442650854726,0.95
isaid_plane,sam3,yolo_bbox,42,human,pseudo_sam3,5447,0.6383571654262823,0.8625673810055644,0.2242102155792821,0.20846135262311202,0.23994375236268803,0.95
