dataset_id,model,bbox_source,detector_seed,reference_type,stratum,instance_count,source_scene_count,mean_iou,mean_dice,mean_precision,mean_recall,mean_boundary_iou,iou_ci_lower,iou_ci_upper,confidence_level,bootstrap_samples,success_at_iou_50,success_at_iou_75,success_at_iou_90
isaid_plane,sam1,gt_bbox,,human,overall,5447,44,0.6527027274564086,0.7800174461926398,0.686070112558386,0.9345821070640591,,0.6314796492306687,0.6688471829969117,0.95,10000,0.9054525426840463,0.1947861208004406,0.004589682393978336
isaid_plane,sam1,gt_bbox,,human,no_overlap__low_mask_area,439,27,0.5931893423965364,0.7265047268311459,0.625770356423909,0.9259774552137924,,0.5595316412136513,0.6293393389389221,0.95,10000,0.8018223234624146,0.14350797266514806,0.01366742596810934
isaid_plane,sam1,gt_bbox,,human,no_overlap__high_mask_area,622,17,0.6488582036188791,0.7724011233375622,0.680509086898208,0.9353558780658069,,0.6242677137351543,0.6760240163332306,0.95,10000,0.8938906752411575,0.2491961414790997,0.001607717041800643
isaid_plane,sam1,gt_bbox,,human,overlap__low_mask_area,1708,38,0.632508711382321,0.7667934018151163,0.6709301759149751,0.9260079279137865,,0.6031264221240248,0.6588409027011987,0.95,10000,0.8805620608899297,0.13934426229508196,0.00117096018735363
isaid_plane,sam1,gt_bbox,,human,overlap__high_mask_area,2678,18,0.6762311252617739,0.7989928399239183,0.70690266023972,0.9412814553044797,,0.655869874588578,0.6920433229239792,0.95,10000,0.9410007468259896,0.22591486183719192,0.00597460791635549
isaid_plane,sam1,gt_bbox,,pseudo_sam1,overall,5447,44,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_plane,sam1,gt_bbox,,pseudo_sam1,no_overlap__low_mask_area,439,27,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_plane,sam1,gt_bbox,,pseudo_sam1,no_overlap__high_mask_area,622,17,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_plane,sam1,gt_bbox,,pseudo_sam1,overlap__low_mask_area,1708,38,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_plane,sam1,gt_bbox,,pseudo_sam1,overlap__high_mask_area,2678,18,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
isaid_plane,sam1,gt_bbox,,pseudo_sam2,overall,5447,44,0.8273187777080351,0.8980013951880986,0.9388997720895724,0.8741813146588229,,0.8097011656046179,0.8407752080954779,0.95,10000,0.965669175693042,0.8454194969708096,0.26326418211859737
