Dataset,Seed,Confidence threshold,bbox AP50,bbox AP75,bbox AP90,bbox AP50-95,Precision@bboxIoU50,Recall@bboxIoU50
iSAID Plane,42,0.2811500430107116,0.920479205443801,0.8465556184629945,0.5453477913146703,0.7622510908165157,0.9247536012130402,0.8957224160088122
iSAID Small Vehicle,42,0.2740148901939392,0.6090218296972107,0.3584700985757063,0.02054724607557,0.3462369224261772,0.5281737534414194,0.7163720853041241
