dataset_id,model,bbox_source,detector_seed,reference_type,stratum,instance_count,source_scene_count,mean_iou,mean_dice,mean_precision,mean_recall,mean_boundary_iou,iou_ci_lower,iou_ci_upper,confidence_level,bootstrap_samples,success_at_iou_50,success_at_iou_75,success_at_iou_90
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam2,overall,7659,17,0.8463380822666315,0.9107632609510465,0.9455661327814515,0.8916407280501845,,0.8109374339226243,0.8832748015919366,0.95,10000,0.9770204987596292,0.8313095704400052,0.42655699177438305
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam2,no_overlap__low_mask_area,596,16,0.8167264324348897,0.8910118603695969,0.9441224252204924,0.8647382330945043,,0.7391800538654454,0.8806070010086797,0.95,10000,0.9546979865771812,0.802013422818792,0.3036912751677852
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam2,no_overlap__high_mask_area,1478,12,0.9042957140528959,0.9461139660253497,0.955315695536307,0.9454150456826247,,0.8825675460369661,0.9192940296122744,0.95,10000,0.9884979702300406,0.9384303112313938,0.7009472259810555
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam2,overlap__low_mask_area,1884,15,0.7967553744566218,0.8811141915675369,0.9267087534302783,0.855461526157032,,0.7607616603105287,0.8497398728632651,0.95,10000,0.9734607218683652,0.7250530785562632,0.18046709129511676
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam2,overlap__high_mask_area,3701,15,0.8532013584173144,0.9149195266536286,0.9515045004259438,0.8929152651751606,,0.8184527183978826,0.8937831459969695,0.95,10000,0.9778438259929749,0.8473385571467171,0.46203728721967036
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam3,overall,7659,17,0.8510558463886208,0.9149353283094849,0.9227409565269422,0.9189563848276436,,0.8193094285380124,0.8803985618127949,0.95,10000,0.9827653740697219,0.8599033816425121,0.4024024024024024
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam3,no_overlap__low_mask_area,596,16,0.8323805627690423,0.9044904015072404,0.9127861356789432,0.9103855328408741,,0.7838106356244213,0.8726472781634387,0.95,10000,0.9865771812080537,0.8389261744966443,0.2516778523489933
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam3,no_overlap__high_mask_area,1478,12,0.8919604219731861,0.9394873852664336,0.9382573525897894,0.9491781380876382,,0.8770867470902579,0.9030562030946543,0.95,10000,0.986468200270636,0.9262516914749662,0.6434370771312584
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam3,overlap__low_mask_area,1884,15,0.8043306707297047,0.886750219119298,0.8996771912412377,0.8901044415074877,,0.7696497059306401,0.8500900149225763,0.95,10000,0.9819532908704883,0.7600849256900213,0.16560509554140126
samrs_sota_small_vehicle,sam1,gt_bbox,,pseudo_sam3,overlap__high_mask_area,3701,15,0.861513489529577,0.9211601275275554,0.9298882069032696,0.9229546387268645,,0.826727845322822,0.8904726442021088,0.95,10000,0.9810861929208322,0.8875979465009457,0.4509592002161578
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,overall,7659,17,0.9983379631120862,0.9991174436477744,0.9996136527534963,0.9987012352035313,,0.9978018784136174,0.9987389951849784,0.95,10000,0.9998694346520434,0.9992166079122601,0.9977803890847369
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,no_overlap__low_mask_area,596,16,0.9986242242104759,0.9992980787988734,0.9997375886613546,0.9988770678537235,,0.9979593827728688,0.9991342176073621,0.95,10000,1.0,1.0,0.9966442953020134
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,no_overlap__high_mask_area,1478,12,0.998740799292091,0.9993086681868785,0.9995834775628963,0.999156102841498,,0.9976124538895496,0.9992554420346448,0.95,10000,0.9993234100135318,0.9993234100135318,0.9993234100135318
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,overlap__low_mask_area,1884,15,0.9981745863481762,0.9990536372525792,0.9994516350264363,0.9987033096501845,,0.9972442589903396,0.9988107519319598,0.95,10000,1.0,0.9994692144373672,0.9978768577494692
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,overlap__high_mask_area,3701,15,0.9982141582848825,0.9990444695406941,0.9996882203104822,0.9984902114569967,,0.9970639306825727,0.9989383282811657,0.95,10000,1.0,0.9989192110240476,0.9972980275601189
samrs_sota_small_vehicle,sam1,gt_bbox,,reproduced_pseudo_sam1,overall,7659,17,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_small_vehicle,sam1,gt_bbox,,reproduced_pseudo_sam1,no_overlap__low_mask_area,596,16,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_small_vehicle,sam1,gt_bbox,,reproduced_pseudo_sam1,no_overlap__high_mask_area,1478,12,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
