dataset_id,model,bbox_source,detector_seed,baseline_reference,comparison_reference,instance_count,baseline_mean_iou,comparison_mean_iou,delta_iou,delta_ci_lower,delta_ci_upper,confidence_level
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,pseudo_sam2,7659,0.9983379631120862,0.8463380822666315,-0.15199988084545477,-0.1869825443130961,-0.1152073913994981,0.95
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,pseudo_sam3,7659,0.9983379631120862,0.8510558463886208,-0.1472821167234655,-0.1786636157077731,-0.11823834283599396,0.95
samrs_sota_small_vehicle,sam1,gt_bbox,,published_samrs_reference,reproduced_pseudo_sam1,7659,0.9983379631120862,1.0,0.0016620368879137837,0.001261004815021458,0.0021981215863824096,0.95
samrs_sota_small_vehicle,sam1,yolo_bbox,42,published_samrs_reference,pseudo_sam2,7659,0.7819361991976443,0.6970581616649718,-0.0848780375326726,-0.1056864969180923,-0.05979382715810371,0.95
samrs_sota_small_vehicle,sam1,yolo_bbox,42,published_samrs_reference,pseudo_sam3,7659,0.7819361991976443,0.7046469544708371,-0.07728924472680716,-0.09234229662323148,-0.06136486043859932,0.95
samrs_sota_small_vehicle,sam1,yolo_bbox,42,published_samrs_reference,reproduced_pseudo_sam1,7659,0.7819361991976443,0.7821460140176111,0.00020981481996679754,4.3412475711687047e-05,0.0003915017945426047,0.95
samrs_sota_small_vehicle,sam2,gt_bbox,,published_samrs_reference,pseudo_sam2,7659,0.8463782607163504,1.0,0.15362173928364972,0.11675388073540545,0.1889089491714093,0.95
samrs_sota_small_vehicle,sam2,gt_bbox,,published_samrs_reference,pseudo_sam3,7659,0.8463782607163504,0.8555171856507199,0.009138924934369604,-0.0017945481585858107,0.021062187169014934,0.95
samrs_sota_small_vehicle,sam2,gt_bbox,,published_samrs_reference,reproduced_pseudo_sam1,7659,0.8463782607163504,0.8463380822666315,-4.01784497188377e-05,-0.0002303559392723243,0.0001837446511124059,0.95
samrs_sota_small_vehicle,sam2,yolo_bbox,42,published_samrs_reference,pseudo_sam2,7659,0.7072289516531652,0.7487703920642805,0.04154144041111534,0.029931598519411132,0.05391611955225981,0.95
samrs_sota_small_vehicle,sam2,yolo_bbox,42,published_samrs_reference,pseudo_sam3,7659,0.7072289516531652,0.7050256258488719,-0.002203325804293315,-0.009874960758788137,0.005250109790163481,0.95
samrs_sota_small_vehicle,sam2,yolo_bbox,42,published_samrs_reference,reproduced_pseudo_sam1,7659,0.7072289516531652,0.7071756809594316,-5.327069373356465e-05,-0.00023587441615965788,0.00010896767139295877,0.95
samrs_sota_small_vehicle,sam3,gt_bbox,,published_samrs_reference,pseudo_sam2,7659,0.8509232578804576,0.8555171856507199,0.004593927770262254,-0.006935080066119168,0.01764314313862141,0.95
samrs_sota_small_vehicle,sam3,gt_bbox,,published_samrs_reference,pseudo_sam3,7659,0.8509232578804576,1.0,0.14907674211954233,0.11983096550759789,0.18077270716309266,0.95
samrs_sota_small_vehicle,sam3,gt_bbox,,published_samrs_reference,reproduced_pseudo_sam1,7659,0.8509232578804576,0.8510558463886208,0.00013258850816305525,-1.5246068788514235e-05,0.00034265067621712977,0.95
samrs_sota_small_vehicle,sam3,yolo_bbox,42,published_samrs_reference,pseudo_sam2,7659,0.7065559594084339,0.6943551826425699,-0.012200776765864101,-0.022843401530985928,-0.0010269579683580565,0.95
samrs_sota_small_vehicle,sam3,yolo_bbox,42,published_samrs_reference,pseudo_sam3,7659,0.7065559594084339,0.7601818469071222,0.05362588749868836,0.04442059296379165,0.06308785626665549,0.95
samrs_sota_small_vehicle,sam3,yolo_bbox,42,published_samrs_reference,reproduced_pseudo_sam1,7659,0.7065559594084339,0.7066053979129647,4.943850453076065e-05,-0.00011629759721472966,0.00018530104348748306,0.95
