epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,21594.8,1.55934,0.58128,0.00126,0.81937,0.80463,0.80922,0.44182,1.42212,0.90663,0.00184,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,22520.3,1.54656,0.57911,0.00125,0.8123,0.80475,0.80353,0.43699,1.42479,0.96074,0.00184,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,23302.1,1.558,0.57759,0.00124,0.81529,0.8085,0.80625,0.43541,1.43481,1.02282,0.00188,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,23923.3,1.53784,0.56496,0.00122,0.81542,0.80537,0.8063,0.43653,1.4343,0.99562,0.00187,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,24838,1.53895,0.56433,0.00123,0.81877,0.80674,0.81019,0.4382,1.42961,0.98794,0.00185,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,25595.3,1.52321,0.56365,0.00121,0.82161,0.80332,0.80604,0.43518,1.42707,0.89222,0.00185,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,26360.9,1.48899,0.54196,0.00121,0.81948,0.81218,0.81167,0.44458,1.41427,1.10245,0.00184,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,27132,1.50159,0.54536,0.0012,0.82474,0.80884,0.81233,0.44472,1.41872,0.92814,0.00184,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,28036.1,1.49685,0.54003,0.00118,0.82238,0.80981,0.81083,0.44087,1.41973,0.91778,0.00184,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,28932.5,1.50015,0.54642,0.00117,0.81679,0.80419,0.8047,0.43491,1.4318,0.94663,0.00186,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,30140.5,1.45203,0.5215,0.00118,0.8211,0.80672,0.8042,0.43658,1.42498,0.97256,0.00186,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,31185.3,1.4795,0.5327,0.00116,0.81914,0.80973,0.80655,0.43612,1.42638,0.9404,0.00186,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,31943.2,1.45341,0.52157,0.00114,0.81625,0.81109,0.8058,0.43739,1.43092,0.93578,0.00186,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,32739.8,1.43502,0.50784,0.00113,0.82142,0.80312,0.80369,0.43499,1.43187,1.03625,0.00186,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,33499.1,1.45098,0.52248,0.00112,0.81737,0.80815,0.80454,0.43656,1.43164,1.01182,0.00185,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,34119.8,1.4088,0.49595,0.00111,0.82357,0.80714,0.80725,0.43895,1.42892,0.927,0.00185,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,35274.9,1.41274,0.50217,0.0011,0.81823,0.80716,0.80516,0.43511,1.43024,1.07808,0.00185,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
