Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,0.862,0.923,0.902,0.955,0.989,0.898,0.428
SAM1 YOLO bbox,128,0.718,0.768,0.750,0.793,0.827,0.746,0.349
SAM2 GT bbox,128,0.876,0.932,0.912,0.960,0.997,0.951,0.460
SAM2 YOLO bbox,128,0.720,0.769,0.755,0.791,0.829,0.765,0.332
SAM3 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM3 YOLO bbox,128,0.774,0.799,0.802,0.800,0.829,0.807,0.662
