Pipeline,Images,Avg IoU,Avg Dice,Avg Precision,Avg Recall,IoU ≥ 0.50,IoU ≥ 0.75,IoU ≥ 0.90
SAM1 GT bbox,128,1.000,1.000,1.000,1.000,1.000,1.000,1.000
SAM1 YOLO bbox,128,0.793,0.810,0.813,0.809,0.829,0.811,0.732
SAM2 GT bbox,128,0.864,0.924,0.932,0.926,0.988,0.892,0.479
SAM2 YOLO bbox,128,0.721,0.769,0.777,0.768,0.826,0.751,0.397
SAM3 GT bbox,128,0.791,0.865,0.869,0.871,0.956,0.805,0.130
SAM3 YOLO bbox,128,0.665,0.728,0.741,0.724,0.807,0.675,0.108
